rua                            onde passam carros
ponte                          liga dois lados separados
fogo                           queima
sol                            brilha no céu
casa                           lugar onde você mora
Cachorro                       best friend of man
Banana                         Fruta
Palavra com 30 caractere       Dica até o final da linha
Francisco da Fonseca Rodrigues O humilde professor
Arroz                          Alimento muito usado na Ásia
Cachorro                       Melhor amigo das pessoas
Fentanil                       Pesadelo do Trump
Processador                    Aquele que processa
Truco                          Jogo de cartas
Casa                           Onde mora
